dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,252389,17,7,0.4117647058823529,0.45,0.975,-0.0405450165271759,-0.00880575180053711,0.031739264726638794,0.0,nan
amazon-toys-and-games,valid,254257,15,5,0.3333333333333333,0.35,0.375,0.035393714904785156,0.013439834117889404,-0.021953880786895752,0.26666666666666666,-0.0125
amazon-toys-and-games,valid,256120,12,2,0.16666666666666666,0.6,0.925,0.00948372483253479,0.007632791996002197,-0.0018509328365325928,0.08333333333333333,0.9
amazon-toys-and-games,valid,258693,16,6,0.375,0.15,0.45,-0.04829882085323334,-0.04866352677345276,-0.0003647059202194214,0.3125,-0.030000000000000006
amazon-toys-and-games,valid,260037,24,14,0.5833333333333334,0.9,0.4,0.14298906922340393,0.1342950314283371,-0.008694037795066833,0.08333333333333333,-0.025
amazon-toys-and-games,valid,267769,22,12,0.5454545454545454,1.0,1.0,0.20126676559448242,0.2775613069534302,0.07629454135894775,0.13636363636363635,0.25
amazon-toys-and-games,valid,269214,24,14,0.5833333333333334,0.65,0.875,0.054866641759872437,0.052088022232055664,-0.0027786195278167725,0.16666666666666666,0.07499999999999998
amazon-toys-and-games,valid,269507,13,3,0.23076923076923078,0.15,0.375,0.01126319169998169,0.002056688070297241,-0.009206503629684448,0.15384615384615385,-0.1
amazon-toys-and-games,valid,271667,25,15,0.6,0.7,0.4,0.03932082653045654,0.05567166209220886,0.01635083556175232,0.4,-0.035
amazon-toys-and-games,valid,272634,12,2,0.16666666666666666,0.25,0.5,-0.02211572229862213,-0.026223674416542053,-0.004107952117919922,0.08333333333333333,-0.05
amazon-toys-and-games,valid,273211,19,9,0.47368421052631576,1.0,0.875,0.14029914140701294,0.13086983561515808,-0.009429305791854858,0.05263157894736842,-0.1
amazon-toys-and-games,valid,273447,12,2,0.16666666666666666,0.05,0.475,-0.12326356768608093,-0.11818656325340271,0.005077004432678223,0.16666666666666666,0.0
amazon-toys-and-games,valid,276897,13,3,0.23076923076923078,0.3,0.45,-0.03170248866081238,-0.022324711084365845,0.009377777576446533,0.07692307692307693,-0.4
amazon-toys-and-games,valid,279375,27,17,0.6296296296296297,0.3,0.225,-0.04233662784099579,-0.04185307025909424,0.0004835575819015503,0.2962962962962963,-0.037500000000000006
amazon-toys-and-games,valid,281944,12,2,0.16666666666666666,1.0,0.475,0.09475111961364746,0.09283360838890076,-0.001917511224746704,0.08333333333333333,0.0
amazon-toys-and-games,valid,282483,16,6,0.375,0.7,0.825,0.017507046461105347,0.021064966917037964,0.003557920455932617,0.1875,0.25
amazon-toys-and-games,valid,285588,11,1,0.09090909090909091,0.55,0.45,-0.13724841177463531,-0.12593810260295868,0.011310309171676636,0.0,nan
amazon-toys-and-games,valid,288142,18,8,0.4444444444444444,0.15,0.6,-0.09068791568279266,-0.10657870769500732,-0.01589079201221466,0.1111111111111111,-0.15
amazon-toys-and-games,valid,290698,11,1,0.09090909090909091,0.95,0.5,0.035635918378829956,0.05198758840560913,0.016351670026779175,0.0,nan
amazon-toys-and-games,valid,290713,35,25,0.7142857142857143,1.0,0.975,0.44392040371894836,0.4990510940551758,0.05513069033622742,0.0,nan
amazon-toys-and-games,valid,290941,12,2,0.16666666666666666,0.85,0.4,0.13371330499649048,0.12640538811683655,-0.007307916879653931,0.16666666666666666,-0.1
amazon-toys-and-games,valid,291211,14,4,0.2857142857142857,0.2,0.4,-0.09333778917789459,-0.10377094149589539,-0.010433152318000793,0.07142857142857142,0.0
amazon-toys-and-games,valid,291560,16,6,0.375,1.0,0.675,0.2003542184829712,0.20312440395355225,0.0027701854705810547,0.125,-0.2
amazon-toys-and-games,valid,294729,13,3,0.23076923076923078,0.95,0.45,0.011449456214904785,0.02597293257713318,0.014523476362228394,0.07692307692307693,0.0
amazon-toys-and-games,valid,294795,19,9,0.47368421052631576,0.5,0.325,-0.0022858381271362305,0.0009507834911346436,0.003236621618270874,0.15789473684210525,-0.016666666666666666
amazon-toys-and-games,valid,297012,37,27,0.7297297297297297,0.85,0.4,0.04161515831947327,0.08230403065681458,0.04068887233734131,0.35135135135135137,-0.007692307692307693
amazon-toys-and-games,valid,297203,12,2,0.16666666666666666,0.65,0.475,-0.04098100960254669,-0.027083277702331543,0.013897731900215149,0.0,nan
